x: [[ 80 197 283 273 202  93]], y: [[145 110 157 200 165 197]], ornt: [u'c'], transcriptions: [u'Ambro']
x: [[152 191 254 256 199 152]], y: [[174 168 184 194 179 187]], ornt: [u'#'], transcriptions: [u'#']
x: [[129 270 268 116]], y: [[285 305 353 331]], ornt: [u'm'], transcriptions: [u'Semolin']
x: [[165 259 261 162]], y: [[338 355 371 357]], ornt: [u'#'], transcriptions: [u'#']
x: [[311 399 505 505 428 315]], y: [[172 137 177 240 187 218]], ornt: [u'c'], transcriptions: [u'Ambrosio']
x: [[357 447 486 488 428 364]], y: [[ 86  95 111 127 109 103]], ornt: [u'#'], transcriptions: [u'#']
x: [[355 410 497 494 413 360]], y: [[131 118 148 163 130 139]], ornt: [u'#'], transcriptions: [u'#']
x: [[359 420 487 484 419 363]], y: [[197 183 218 225 193 206]], ornt: [u'#'], transcriptions: [u'#']
x: [[388 451 455 391]], y: [[298 305 330 328]], ornt: [u'm'], transcriptions: [u'Rice']
x: [[354 478 474 354]], y: [[323 335 371 353]], ornt: [u'm'], transcriptions: [u'Pudding']
x: [[384 458 460 386]], y: [[356 365 375 371]], ornt: [u'#'], transcriptions: [u'#']
x: [[528 631 732 731 654 541]], y: [[147  93 136 191 149 189]], ornt: [u'c'], transcriptions: [u'Ambrosi']
x: [[583 633 697 731 728 688 637 590]], y: [[168 146 163 191 201 174 158 177]], ornt: [u'#'], transcriptions: [u'#']
x: [[621 700 698 630]], y: [[263 269 303 299]], ornt: [u'm'], transcriptions: [u'Light']
x: [[566 626 629 570]], y: [[300 298 325 325]], ornt: [u'h'], transcriptions: [u'Rice']
x: [[630 697 728 727 682 636]], y: [[297 306 318 344 332 326]], ornt: [u'c'], transcriptions: [u'Pudding']
x: [[608 704 708 611]], y: [[331 341 356 348]], ornt: [u'#'], transcriptions: [u'#']
x: [[741 812 935 965 962 916 834 751]], y: [[165 100 116 148 200 158 147 215]], ornt: [u'c'], transcriptions: [u'Ambrosia']
x: [[787 836 903 941 936 901 838 793]], y: [[179 150 153 174 183 170 164 189]], ornt: [u'#'], transcriptions: [u'#']
x: [[811 924 929 816]], y: [[263 261 284 286]], ornt: [u'h'], transcriptions: [u'Traditional']
x: [[775 804 837 841 805 780]], y: [[295 289 283 314 320 328]], ornt: [u'c'], transcriptions: [u'Rice']
x: [[840 913 953 958 905 846]], y: [[285 285 292 326 311 315]], ornt: [u'c'], transcriptions: [u'Pudding']
x: [[799 841 841 802]], y: [[323 313 335 343]], ornt: [], transcriptions: [u'and']
x: [[848 937 942 847]], y: [[313 316 338 335]], ornt: [u'h'], transcriptions: [u'sultanas']
x: [[802 938 940 807]], y: [[342 337 353 354]], ornt: [u'#'], transcriptions: [u'#']
x: [[820 923 924 818]], y: [[355 355 369 370]], ornt: [u'#'], transcriptions: [u'#']
