x: [[ 97 139 137  96]], y: [[19 19 33 31]], ornt: [u'h'], transcriptions: [u'AHMAD']
x: [[136 160 161 137]], y: [[19 20 32 33]], ornt: [u'h'], transcriptions: [u'TEA']
x: [[107 149 151 109]], y: [[44 44 63 63]], ornt: [u'h'], transcriptions: [u'EARL']
x: [[111 145 153 110]], y: [[66 64 79 78]], ornt: [u'h'], transcriptions: [u'GREy']
x: [[130 161 159 134]], y: [[122 121 134 133]], ornt: [u'h'], transcriptions: [u'taste']
x: [[212 254 254 212]], y: [[20 21 35 34]], ornt: [u'h'], transcriptions: [u'AHMAD']
x: [[252 272 272 252]], y: [[24 25 38 38]], ornt: [u'h'], transcriptions: [u'TEA']
x: [[216 271 273 219]], y: [[48 52 68 66]], ornt: [u'h'], transcriptions: [u'CEYLON']
x: [[229 261 264 231]], y: [[67 67 84 83]], ornt: [], transcriptions: [u'TEA']
x: [[308 346 347 308]], y: [[27 27 40 41]], ornt: [u'h'], transcriptions: [u'AHMAD']
x: [[348 370 370 347]], y: [[26 27 45 44]], ornt: [u'h'], transcriptions: [u'TEA']
x: [[312 365 365 311]], y: [[55 57 70 70]], ornt: [u'h'], transcriptions: [u'CEYLON']
x: [[322 349 353 317]], y: [[71 71 84 87]], ornt: [u'h'], transcriptions: [u'TEA']
x: [[423 458 460 421]], y: [[31 33 47 45]], ornt: [u'h'], transcriptions: [u'AHMAD']
x: [[459 482 481 462]], y: [[31 33 48 48]], ornt: [u'h'], transcriptions: [u'TEA']
x: [[412 488 491 418]], y: [[57 59 75 74]], ornt: [u'h'], transcriptions: [u'CARDAMON']
x: [[439 466 471 437]], y: [[73 73 89 91]], ornt: [u'h'], transcriptions: [u'TEA']
x: [[543 594 592 544]], y: [[51 52 69 66]], ornt: [u'h'], transcriptions: [u'Dilmah']
x: [[540 565 570 540]], y: [[ 87  88 101 102]], ornt: [u'h'], transcriptions: [u'EARL']
x: [[569 594 597 571]], y: [[ 87  88 100 104]], ornt: [u'h'], transcriptions: [u'GREY']
x: [[658 702 703 661]], y: [[56 58 72 72]], ornt: [u'h'], transcriptions: [u'Dilmah']
x: [[659 702 700 662]], y: [[ 88  90 105 104]], ornt: [u'h'], transcriptions: [u'ENGLISh']
x: [[652 704 708 654]], y: [[100 101 112 113]], ornt: [u'h'], transcriptions: [u'BREAKFAST']
x: [[759 803 805 762]], y: [[53 55 68 67]], ornt: [u'h'], transcriptions: [u'Dilmah']
x: [[760 801 800 765]], y: [[82 84 98 97]], ornt: [u'#'], transcriptions: [u'#']
x: [[861 902 905 863]], y: [[55 57 76 73]], ornt: [u'h'], transcriptions: [u'Dilmah']
x: [[861 903 903 862]], y: [[84 86 97 99]], ornt: [u'#'], transcriptions: [u'#']
x: [[ 952 1005 1006  957]], y: [[64 64 82 81]], ornt: [u'h'], transcriptions: [u'Dilmah']
x: [[953 987 988 958]], y: [[ 89  90 101 102]], ornt: [u'h'], transcriptions: [u'Green']
x: [[ 984 1007 1012  986]], y: [[ 87  90 104 104]], ornt: [u'h'], transcriptions: [u'TEA']
x: [[1067 1116 1121 1068]], y: [[71 73 87 87]], ornt: [u'h'], transcriptions: [u'Dilmah']
x: [[1066 1101 1101 1071]], y: [[ 98  99 110 109]], ornt: [u'h'], transcriptions: [u'GREEN']
x: [[1104 1117 1119 1103]], y: [[ 96  98 112 112]], ornt: [u'h'], transcriptions: [u'TEA']
